,time,code,ampshift,pspamp,exptname
437,87.26872499999999,T,0.0,7.32421875,20200614_002_ampshift
439,87.62855499999999,T,40.0,11.71875,20200614_002_ampshift
441,87.958445,T,-5.0,5.0506591796875,20200614_002_ampshift
443,88.251335,T,-20.0,1.922607421875,20200614_002_ampshift
445,88.54714499999999,T,5.0,8.23974609375,20200614_002_ampshift
447,88.847195,T,-30.0,-0.4425048828125,20200614_002_ampshift
449,89.185425,T,20.0,10.2386474609375,20200614_002_ampshift
457,90.681125,T,30.0,11.5509033203125,20200614_002_ampshift
459,91.12295499999999,T,-40.0,-0.0457763671875,20200614_002_ampshift
461,91.53408499999999,T,10.0,8.48388671875,20200614_002_ampshift
463,91.94431499999999,T,-10.0,4.364013671875,20200614_002_ampshift
465,92.307065,T,0.0,7.4005126953125,20200614_002_ampshift
467,92.606715,T,40.0,11.810302734375,20200614_002_ampshift
469,92.912325,T,-5.0,4.7607421875,20200614_002_ampshift
471,93.220615,T,-20.0,2.2735595703125,20200614_002_ampshift
473,93.521525,T,5.0,8.148193359375,20200614_002_ampshift
475,93.86229499999999,T,-30.0,-0.18310546875,20200614_002_ampshift
477,94.18692499999999,T,20.0,10.772705078125,20200614_002_ampshift
485,95.620325,T,30.0,11.0321044921875,20200614_002_ampshift
487,95.99073499999999,T,-40.0,-0.2899169921875,20200614_002_ampshift
489,96.358685,T,10.0,9.0484619140625,20200614_002_ampshift
491,96.750255,T,-10.0,4.7149658203125,20200614_002_ampshift
493,97.14234499999999,T,0.0,6.65283203125,20200614_002_ampshift
495,97.53301499999999,T,40.0,11.505126953125,20200614_002_ampshift
497,97.89722499999999,T,-5.0,5.706787109375,20200614_002_ampshift
499,98.30681499999999,T,-20.0,2.0599365234375,20200614_002_ampshift
501,98.678845,T,5.0,8.3465576171875,20200614_002_ampshift
503,99.129235,T,-30.0,0.1678466796875,20200614_002_ampshift
505,99.47324499999999,T,20.0,10.467529296875,20200614_002_ampshift
513,101.12012499999999,T,30.0,11.199951171875,20200614_002_ampshift
515,101.505715,T,-40.0,0.091552734375,20200614_002_ampshift
517,101.90792499999999,T,10.0,9.5367431640625,20200614_002_ampshift
519,102.28453499999999,T,-10.0,3.47900390625,20200614_002_ampshift
521,102.642445,T,0.0,7.4005126953125,20200614_002_ampshift
523,103.03125499999999,T,40.0,11.9171142578125,20200614_002_ampshift
525,103.384025,T,-5.0,5.096435546875,20200614_002_ampshift
527,103.65671499999999,T,-20.0,1.9378662109375,20200614_002_ampshift
529,104.012125,T,5.0,8.575439453125,20200614_002_ampshift
531,104.329275,T,-30.0,-0.213623046875,20200614_002_ampshift
533,104.68532499999999,T,20.0,10.31494140625,20200614_002_ampshift
541,106.131525,T,30.0,11.29150390625,20200614_002_ampshift
543,106.482935,T,-40.0,-0.48828125,20200614_002_ampshift
545,106.829625,T,10.0,8.8653564453125,20200614_002_ampshift
