,time,code,ampshift,fsl,onset,spkamp,exptname
336,55.56048499999999,T,10.0,2.8418945963975983,2.321547698465644,28.99169921875,20200531_006
340,55.956844999999994,T,20.0,2.681787858572381,2.181454302868579,28.9306640625,20200531_006
342,56.353165,T,-5.0,3.3222148098732487,2.741827885256838,29.2510986328125,20200531_006
346,56.74950499999999,T,40.0,2.5216811207471648,2.021347565043362,28.8238525390625,20200531_006
357,58.13668499999999,T,30.0,2.581721147431621,2.0413609072715144,29.2816162109375,20200531_006
361,58.533044999999994,T,-30.0,5.803869246164108,4.362908605737158,28.1982421875,20200531_006
365,58.929384999999996,T,-40.0,,,0.0,20200531_006
368,59.325745,T,-20.0,4.38292194796531,3.422281521014009,29.1290283203125,20200531_006
371,59.72206499999999,T,5.0,2.961974649766511,2.401601067378252,29.4189453125,20200531_006
375,60.118404999999996,T,0.0,3.1220813875917277,2.5016677785190127,29.205322265625,20200531_006
378,60.514745,T,-10.0,3.602401601067378,2.941961307538359,29.5867919921875,20200531_006
381,60.91108499999999,T,10.0,2.8619079386257504,2.181454302868579,29.23583984375,20200531_006
385,61.307444999999994,T,20.0,2.6617745163442295,2.1014009339559707,28.839111328125,20200531_006
388,61.703765,T,-5.0,3.3022014676450966,2.7018012008005337,29.3731689453125,20200531_006
391,62.10012499999999,T,40.0,2.5016677785190127,2.021347565043362,28.961181640625,20200531_006
404,63.48732499999999,T,30.0,2.561707805203469,2.021347565043362,28.9154052734375,20200531_006
407,63.88366499999999,T,-30.0,6.2641761174116075,4.583055370246831,27.7862548828125,20200531_006
411,64.28000499999999,T,-40.0,,,0.0,20200531_006
414,64.676345,T,-20.0,4.362908605737158,3.402268178785857,29.388427734375,20200531_006
417,65.07268499999999,T,5.0,2.9219479653102067,2.401601067378252,29.23583984375,20200531_006
421,65.469045,T,0.0,3.0820547031354235,2.5016677785190127,29.5257568359375,20200531_006
424,65.865365,T,-10.0,3.62241494329553,2.8619079386257504,30.09033203125,20200531_006
427,66.26170499999999,T,10.0,2.8418945963975983,2.2815210140093396,29.8919677734375,20200531_006
